BURDOOCK completo el nivel 1 en 949370,367 segundos.
BURDOOCK completo el nivel 2 en 0,011 segundos.
BURDOOCK completo el nivel 3 en 0,007 segundos.
BURDOOCK completo el nivel 4 en 0,008 segundos.
BURDOOCK completo el nivel 5 en 0,009 segundos.
BURDOOCK completo el nivel 6 en 0,008 segundos.
BURDOOCK completo el nivel 7 en 0,008 segundos.
BURDOOCK completo el nivel 8 en 0,008 segundos.
BURDOOCK completo el nivel 9 en 0,008 segundos.
BURDOOCK completo el nivel 10 en 0,008 segundos.
BURDOOCK completo el nivel 11 en 0,008 segundos.
BURDOOCK completo el nivel 12 en 0,009 segundos.
BURDOOCK completo el nivel 13 en 0,005 segundos.
BURDOOCK completo el nivel 14 en 0,005 segundos.
BURDOOCK completo el nivel 15 en 0,008 segundos.
BURDOOCK completo el nivel 16 en 0,009 segundos.
BURDOOCK completo el nivel 17 en 0,008 segundos.
BURDOOCK completo el nivel 18 en 0,009 segundos.
BURDOOCK completo el nivel 19 en 0,008 segundos.
BURDOOCK completo el nivel 20 en 0,009 segundos.
BURDOOCK completo el nivel 21 en 0,008 segundos.
BURDOOCK completo el nivel 22 en 0,008 segundos.
BURDOOCK completo el nivel 23 en 0,008 segundos.
BURDOOCK completo el nivel 24 en 0,008 segundos.
BURDOOCK completo el nivel 25 en 0,008 segundos.
BURDOOCK completo el nivel 26 en 0,008 segundos.
BURDOOCK completo el nivel 27 en 0,008 segundos.
BURDOOCK completo el nivel 28 en 0,009 segundos.
BURDOOCK completo el nivel 29 en 0,008 segundos.
